chebiid	smiles
CHEBI:15377	[H]O[H]
CHEBI:28938	[H][N+]([H])([H])[H]
CHEBI:15379	O=O
CHEBI:16240	[H]OO[H]
CHEBI:15378	[H+]
CHEBI:43474	O=P([O-])([O-])O
CHEBI:16007	CS
CHEBI:30089	CC(=O)[O-]
CHEBI:16526	O=C=O
CHEBI:33019	O=P([O-])([O-])OP(=O)([O-])O
CHEBI:36655	[H]C(=O)C(=O)[O-]
CHEBI:17544	O=C([O-])O
CHEBI:58228	NC(=O)OP(=O)([O-])[O-]
CHEBI:33722	[SH]12[Fe]3[SH]4[Fe]1[SH]1[Fe+]2[SH]3[Fe+]41
CHEBI:33723	[SH]12[Fe]3[SH]4[Fe]1[SH]1[Fe]2[SH]3[Fe+]41
CHEBI:16189	O=S(=O)([O-])[O-]
CHEBI:58040	C[NH2+]C
CHEBI:16842	[H]C([H])=O
CHEBI:59338	C[NH3+]
CHEBI:29919	[H][S-]
CHEBI:18420	[Mg+2]
CHEBI:29036	[Cu+2]
CHEBI:507393	[NH3+]CCS(=O)(=O)[O-]
CHEBI:58246	[H]C(=O)CS(=O)(=O)[O-]
CHEBI:57305	[NH3+]CC(=O)[O-]
CHEBI:18407	C#N
CHEBI:22191	CC(=O)OP(=O)([O-])[O-]
CHEBI:17071	[H]C(=O)CO
CHEBI:17790	CO
CHEBI:15343	[H]C(C)=O
CHEBI:33542	[H]SS(=O)(=O)[O-]
CHEBI:15226	O=S(=O)([O-])SSS(=O)(=O)[O-]
CHEBI:17045	N#[N+][O-]
CHEBI:16480	[N]=O
CHEBI:29805	O=C([O-])CO
CHEBI:16199	NC(N)=O
CHEBI:29920	NP(=O)([O-])[O-]
CHEBI:57801	O=P1([O-])OP(=O)([O-])OP(=O)([O-])O1
CHEBI:18036	O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-]
CHEBI:29195	N#C[O-]
CHEBI:29033	[Fe+2]
CHEBI:29034	[Fe+3]
CHEBI:15429	NO
CHEBI:17996	[Cl-]
CHEBI:29242	[O-][As](O)O
CHEBI:29317	[H][Se-]
CHEBI:17826	C[As](O)O
CHEBI:16223	C[As](C)(=O)[O-]
CHEBI:57431	NC(=O)NC[NH3+]
CHEBI:33737	S1[Fe+]S[Fe+]1
CHEBI:33738	S1[Fe]S[Fe+]1
CHEBI:17359	O=S([O-])[O-]
CHEBI:14272	[H]C(=O)CF
CHEBI:57840	CNC(N)=[NH2+]
CHEBI:15740	[H]C(=O)[O-]
CHEBI:15571	NN
CHEBI:78619	O=[Fe][O-]
CHEBI:18276	[H][H]
CHEBI:48775	[Cd+2]
CHEBI:566789	CC[NH3+]
CHEBI:16183	[H]C([H])([H])[H]
CHEBI:17632	O=[N+]([O-])[O-]
CHEBI:16301	O=N[O-]
CHEBI:57603	[NH3+]CCO
CHEBI:58190	[NH3+]CCOP(=O)([O-])[O-]
CHEBI:16215	[H]P(=O)([O-])[O-]
CHEBI:58029	[NH3+]CCS
CHEBI:26833	S
CHEBI:17437	CSC
CHEBI:17194	ClCBr
CHEBI:15858	[Br-]
CHEBI:16481	NC(=O)NCO
CHEBI:18212	O=[Se]([O-])[O-]
CHEBI:15075	O=[Se](=O)([O-])[O-]
CHEBI:17245	[C-]#[O+]
CHEBI:58261	COS(=O)(=O)[O-]
CHEBI:58033	O=C([O-])COP(=O)([O-])[O-]
CHEBI:57853	[NH3+]CCS(=O)[O-]
CHEBI:29101	[Na+]
CHEBI:18138	NC(=O)NC(N)=O
CHEBI:49468	[Ag+]
CHEBI:30623	O=C([O-])C(=O)[O-]
CHEBI:49552	[Cu+]
CHEBI:48828	[Co+2]
CHEBI:49786	[Ni+2]
CHEBI:17997	N#N
CHEBI:13941	NC(=O)[O-]
CHEBI:58213	[NH3+]CC=O
CHEBI:33409	C[As](=O)([O-])O
CHEBI:24090	[H]C(=O)OP(=O)([O-])[O-]
CHEBI:49709	O=Cl(=O)[O-]
CHEBI:17441	O=Cl[O-]
CHEBI:30320	CC(=O)[S-]
CHEBI:16236	CCO
CHEBI:17051	[F-]
CHEBI:18172	O=C([O-])CF
CHEBI:57488	O=C([O-])CP(=O)([O-])O
CHEBI:29103	[K+]
CHEBI:18022	N#C[S-]
CHEBI:58319	O=S(=O)([O-])CCS
CHEBI:57418	[NH3+]CCP(=O)([O-])O
CHEBI:58383	[H]C(=O)CP(=O)([O-])O
CHEBI:29035	[Mn+2]
CHEBI:15832	NC(=O)NC(=O)[O-]
CHEBI:27518	C#C
CHEBI:29108	[Ca+2]
CHEBI:48597	O=[As]([O-])([O-])O
POLYMER:9859	[H]OP(=O)([O-])[O-]
POLYMER:14280	[H]OP(=O)([O-])[O-]
CHEBI:16144	[O-]P([O-])([O-])=[Se]
CHEBI:85035	C[Co+2]
CHEBI:85033	[Co+]
CHEBI:16793	[Hg+2]
CHEBI:16382	[I-]
CHEBI:14428	ON=NO
POLYMER:12871	[H]CC([H])O
POLYMER:12870	[H]CC([H])=O
CHEBI:29323	C/[N+]([O-])=N/CO
CHEBI:29105	[Zn+2]
CHEBI:18421	[O][O-]
CHEBI:16573	O=C=S
POLYMER:14279	[H]OP(=O)([O-])[O-]
CHEBI:16397	[H]C(N)=O
CHEBI:15987	O=S(=O)([O-])SS(=O)(=O)[O-]
CHEBI:36264	O=[Mo](=O)([O-])[O-]
CHEBI:29041	[Mn+3]
CHEBI:30066	O=C([O-])CS
CHEBI:58363	NC(=O)C(=O)[O-]
CHEBI:16698	N#CN
CHEBI:17606	II
CHEBI:18153	C=C
CHEBI:16170	[Hg]
CHEBI:29202	N=C=O
CHEBI:58824	O=C([O-])CS(=O)(=O)[O-]
CHEBI:25224	CS(=O)(=O)[O-]
CHEBI:77846	[NH2+]=CC(=O)[O-]
CHEBI:77894	CC=[N+]([O-])O
CHEBI:39282	[H]C([H])([H])I
CHEBI:36014	[H]C([H])([H])Cl
CHEBI:39275	[H]C([H])([H])Br
CHEBI:30742	OCCO
CHEBI:61112	CSC#N
CHEBI:60991	O=P([O-])(O)CCO
CHEBI:24757	OCl
CHEBI:28262	CS(C)=O
CHEBI:49713	[Li+]
CHEBI:61904	O=S(=O)([O-])CCO
CHEBI:61909	CCS(=O)(=O)[O-]
CHEBI:9349	CS(C)(=O)=O
POLYMER:19475	S=S=S
CHEBI:30087	NC(N)=[NH2+]
CHEBI:35404	O=[Cr](=O)([O-])[O-]
CHEBI:34779	[H]C(=O)C([H])=O
CHEBI:30477	O=[Te]([O-])[O-]
CHEBI:71624	C[Te](=O)(=O)[O-]
CHEBI:68684	CP(=O)([O-])O
CHEBI:71199	O=P([O-])(O)CO
CHEBI:46502	O=[W](=O)([O-])[O-]
CHEBI:44423	NC(=O)NO
CHEBI:44951	O=P[O-]
CHEBI:74631	[NH3+]CCSP(=O)([O-])[O-]
CHEBI:23012	S=C=S
CHEBI:141612	[NH3+]C[C@H](O)P(=O)([O-])O
CHEBI:33007	[Cr+6]
CHEBI:49544	[Cr+3]
CHEBI:84879	N=O
CHEBI:27856	CC(N)=O
CHEBI:86994	O=C([O-])OP(=O)([O-])O
CHEBI:29198	[H]P([H])(=O)[O-]
CHEBI:36361	[H]OP(O[H])O[H]
CHEBI:91254	O=C([O-])P(=O)([O-])O
CHEBI:133603	CS(=O)[O-]
CHEBI:133674	[NH3+]CP(=O)([O-])[O-]
CHEBI:16268	CC[N+](=O)[O-]
CHEBI:133927	[H]C(=O)COP(=O)([O-])[O-]
CHEBI:25941	O=NO[O-]
CHEBI:134098	C[C@@H]([NH3+])P(=O)([O-])[O-]
CHEBI:77699	[H]C(=O)OC
CHEBI:136511	O=[Mn]=O
CHEBI:49807	[Pb+2]
CHEBI:136833	[H]C(=O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]
CHEBI:142501	[H]C(=O)CS(=O)[O-]
CHEBI:4608	CSSC
CHEBI:46511	CCS
CHEBI:29250	[O-]Br
CHEBI:41132	[H]O[B-](O[H])(O[H])O[H]
CHEBI:42530	CC(=O)OO
CHEBI:133907	N#CSO
CHEBI:29232	[O-]I
CHEBI:23808	C[As](C)O
CHEBI:29445	N#C[Se-]
CHEBI:33751	S1[Fe]2S[Fe+]3S[Fe]1[SH]23
CHEBI:47402	S1[Fe]2S[Fe]3S[Fe]1[SH]23
CHEBI:59059	CN=C=O
CHEBI:30046	O=[V+2]
CHEBI:49847	[Rb+]
CHEBI:49547	[Cs+]
CHEBI:194177	C[C@H](O)P(=O)([O-])O
CHEBI:194307	NC(=[NH2+])NO
CHEBI:35104	[Sr+2]
